Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,9-Dec-19,2123.6,2127.95,2127.95,2053.5,2060,2060.45,2079.93,2244747,4668909749,100785,1047181,46.65
TCS,EQ,10-Dec-19,2060.45,2060,2060.85,2003.25,2016.25,2012.85,2020.99,4520045,9134965070,174993,2272296,50.27
TCS,EQ,11-Dec-19,2012.85,2025.4,2048,2006.75,2040,2041.9,2032.84,4943024,10048363661,165464,3004311,60.78
TCS,EQ,12-Dec-19,2041.9,2051.1,2083.65,1984,2003,2020.9,2039.92,7137306,14559533847,146550,4452408,62.38
TCS,EQ,13-Dec-19,2020.9,2023,2077.4,2007,2070,2071.25,2050.09,5711133,11708334592,173478,2245573,39.32
TCS,EQ,16-Dec-19,2071.25,2096,2136,2080.3,2130,2126.75,2116.76,5574177,11799218410,172181,2852266,51.17
TCS,EQ,17-Dec-19,2126.75,2126.5,2169,2119,2168.7,2164.95,2154.7,6059673,13056790687,217425,3457795,57.06
TCS,EQ,18-Dec-19,2164.95,2174,2203.45,2153,2166.8,2167.75,2182.48,8251081,18007821656,198563,4520690,54.79
TCS,EQ,19-Dec-19,2167.75,2179.8,2236.5,2167.55,2231.7,2229.05,2202.61,6251505,13769608435,181580,2570929,41.12
TCS,EQ,20-Dec-19,2229.05,2220,2246.7,2208.25,2219,2222.9,2225.89,5548338,12349976609,158986,2675704,48.23
TCS,EQ,23-Dec-19,2222.9,2210,2241.95,2210,2236,2231.7,2229.75,2247329,5010982046,113685,1168998,52.02
TCS,EQ,24-Dec-19,2231.7,2239,2243.55,2211.15,2216,2215.6,2223,1805896,4014504828,100655,892665,49.43
TCS,EQ,26-Dec-19,2215.6,2216.4,2229,2195.2,2202,2201.95,2207.75,1880367,4151371219,89812,832102,44.25
